target_id	length	eff_length	est_counts	tpm
ATMG00560.1	1050	889.402	0	0
ATMG00480.1	477	316.435	0.5	0.0610384
ATMG00980.1	378	218.152	2	0.354151
ATMG00180.1	1359	1198.4	0	0
ATMG01320.1	1467	1306.4	1.29406	0.0382644
ATMG01270.1	447	286.68	0	0
ATMG00070.1	573	412.402	8	0.749356
ATMG00640.1	579	418.402	2	0.184653
ATMG00735.1	798	637.402	2.62598	0.159147
ATMG01190.1	1524	1363.4	33.871	0.959672
ATMG00080.1	540	379.402	4	0.407267
ATMG00665.1	2010	1849.4	9.54622	0.199397
ATMG00830.1	1149	988.402	0	0
ATMG00520.1	1971	1810.4	3.64533	0.0777823
ATMG00990.1	357	197.502	1.5	0.293385
ATMG01170.1	1050	889.402	5.36714	0.233111
ATMG00090.1	1671	1510.4	7	0.179029
ATMG00270.1	618	457.402	0.213275	0.018012
ATMG00960.1	612	451.402	0	0
ATMG00570.1	843	682.402	1	0.0566081
ATMG00580.1	1488	1327.4	9.30535	0.2708
ATMG00110.1	621	460.402	0	0
ATMG00210.1	558	397.402	0	0
ATMG01360.1	1584	1423.4	17	0.46136
ATMG00650.1	303	145.358	2	0.531507
ATMG00220.1	1182	1021.4	3.02649	0.114462
ATMG00900.1	771	610.402	0	0
ATMG00160.1	783	622.402	13.8438	0.859215
ATMG01275.1	978	817.402	5.08236	0.240187
ATMG00290.1	1089	928.402	4	0.166434
ATMG00510.1	1185	1024.4	2.63076	0.0992039
ATMG00410.1	1158	997.402	0.520172	0.0201463
ATMG01080.1	225	75.364	1.13876	0.583697
AT1G31380.1	528	367.402	0	0
AT1G62780.1	1047	886.402	94	4.09653
AT1G03340.1	1507	1346.4	50	1.43454
AT1G68050.1	2168	2007.4	114	2.19376
AT1G72030.1	933	772.402	20	1.00024
AT1G04440.1	2407	2246.4	3607	62.0265
AT1G31390.1	816	655.402	0	0
AT1G06850.1	1430	1269.4	418.433	12.7334
AT1G03360.1	1325	1164.4	971	32.2133
AT1G06850.2	874	713.402	5.56696	0.301441
AT1G64580.1	1973	1812.4	360	7.67303
AT1G24440.2	1670	1509.4	38.3003	0.980203
AT1G21160.1	4186	4025.4	572.187	5.49095
AT1G05150.1	2961	2800.4	1589	21.9191
AT1G69320.1	763	602.402	0	0
AT1G63057.2	425	264.736	1	0.145917
AT1G63057.1	611	450.402	0	0
AT1G22830.1	3056	2895.4	153.74	2.05114
AT1G05170.2	2027	1866.4	724.836	15.0021
AT1G05170.1	1904	1743.4	30.1638	0.668356
AT1G18490.1	1684	1523.4	367	9.30615
AT1G67530.2	2634	2473.4	9.95716	0.15551
AT1G67750.1	1803	1642.4	472	11.1015
AT1G74660.2	1012	851.402	74.7363	3.3909
AT1G73940.1	911	750.402	2409	124.011
AT1G70895.1	1205	1044.4	54.2839	2.00781
AT1G52720.1	1141	980.402	958	37.7468
AT1G56000.2	1007	846.402	25.3958	1.15905
AT1G53520.1	1096	935.402	356	14.7018
AT1G17080.1	863	702.402	1897	104.328
AT1G33950.2	1130	969.402	0	0
AT1G73950.1	2035	1874.4	313	6.4506
AT1G73950.2	1824	1663.4	0	0
AT1G55325.4	7449	7288.4	376.457	1.99527
AT1G55325.2	6940	6779.4	36.9477	0.210531
AT1G55325.3	6389	6228.4	403.326	2.50149
AT1G55325.1	6267	6106.4	7.26902	0.0459842
AT1G10280.1	1927	1766.4	248	5.42351
AT1G63860.6	3377	3216.4	0	0
AT1G32440.1	2176	2015.4	1687	32.3349
AT1G22360.1	1941	1780.4	3420.99	74.2255
AT1G22360.2	1684	1523.4	0.00552073	0.000139991
AT1G59660.1	3009	2848.4	0	0
AT1G32460.1	659	498.402	1854.05	143.701
AT1G46480.2	1211	1050.4	0	0
AT1G70390.1	999	838.402	0	0
AT1G46480.1	1367	1206.4	16	0.512326
AT1G74920.1	1948	1787.4	4361.55	94.2622
AT1G33070.1	498	337.435	0	0
